iter	Passed	Remaining
0	0	76
1	1	72
2	2	68
3	2	65
4	3	66
5	4	68
6	5	69
7	6	69
8	6	68
9	7	66
10	8	66
11	8	65
12	9	65
13	10	64
14	11	63
15	12	63
16	12	62
17	13	61
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	55
28	22	55
29	23	55
30	24	54
31	25	54
32	26	53
33	27	52
34	28	52
35	28	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	49	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	25
69	56	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
